# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
4.67	33	5.74456	0.0017955	4.36619e-049	3.98074e-096	0.0017955	1
4.68	34	5.83095	0.00206489	8.04757e-049	1.00705e-095	0.00206489	1
4.7	36	6	0.00272441	2.72111e-048	6.40819e-095	0.00272441	1
4.72	36	6	0.00358304	9.14339e-048	4.04673e-094	0.00358304	1
4.73	46	6.78233	0.0041041	1.67212e-047	1.01402e-093	0.0041041	1
4.75	38	6.16441	0.0053716	5.56601e-047	6.33051e-093	0.0053716	1
4.76	39	6.245	0.00613796	1.01312e-046	1.57722e-092	0.00613796	1
4.78	33	5.74456	0.00799498	3.34085e-046	9.73443e-092	0.00799498	1
4.79	37	6.08276	0.00911362	6.05249e-046	2.41144e-091	0.00911362	1
4.81	27	5.19615	0.0118139	1.97718e-045	1.47137e-090	0.0118139	1
4.83	27	5.19615	0.015265	6.41855e-045	8.90939e-090	0.015265	1
4.84	28	5.2915	0.0173311	1.15375e-044	2.18609e-089	0.0173311	1
4.86	33	5.74456	0.0222863	3.71039e-044	1.30864e-088	0.0222863	1
4.87	28	5.2915	0.0252418	6.63824e-044	3.19267e-088	0.0252418	1
4.89	29	5.38516	0.0323028	2.11484e-043	1.88943e-087	0.0323028	1
4.91	29	5.38516	0.0412064	6.69548e-043	1.10967e-086	0.0412064	1
4.92	30	5.47723	0.0464839	1.18854e-042	2.68152e-086	0.0464839	1
4.94	32	5.65685	0.0590111	3.72764e-042	1.55692e-085	0.0590111	1
4.95	32	5.65685	0.0664089	6.58603e-042	3.74082e-085	0.0664089	1
4.97	24	4.89898	0.0839004	2.04627e-041	2.14723e-084	0.0839004	1
4.98	35	5.91608	0.0941911	3.59841e-041	5.12968e-084	0.0941911	1
5	30	5.47723	0.118428	1.10756e-040	2.9109e-083	0.118428	1
5.02	23	4.79583	0.148424	3.38766e-040	1.63926e-082	0.148424	1
5.03	39	6.245	0.165961	5.9108e-040	3.87895e-082	0.165961	1
5.05	27	5.19615	0.206996	1.79101e-039	2.15953e-081	0.206996	1
5.06	22	4.69042	0.230897	3.1103e-039	5.08088e-081	0.230897	1
5.08	31	5.56776	0.286603	9.33623e-039	2.79647e-080	0.286603	1
5.1	17	4.12311	0.354609	2.78496e-038	1.52744e-079	0.354609	1
5.11	23	4.79583	0.393968	4.79867e-038	3.55957e-079	0.393968	1
5.13	23	4.79583	0.485105	1.41803e-037	1.92211e-078	0.485105	1
5.14	35	5.91608	0.537651	2.43191e-037	4.45372e-078	0.537651	1
5.16	24	4.89898	0.658845	7.11915e-037	2.37754e-077	0.658845	1
5.17	22	4.69042	0.728452	1.2152e-036	5.47755e-077	0.728452	1
5.19	20	4.47214	0.888363	3.52409e-036	2.89079e-076	0.888363	1
5.21	21	4.58258	1.0799	1.0156e-035	1.51401e-075	1.0799	1
5.22	25	5	1.18921	1.72006e-035	3.45496e-075	1.18921	1
5.24	18	4.24264	1.43866	4.91063e-035	1.78888e-074	1.43866	1
5.25	18	4.24264	1.58047	8.27778e-035	4.05888e-074	1.58047	1
5.27	28	5.2915	1.90281	2.34113e-034	2.07764e-073	1.90281	1
5.29	19	4.3589	2.28354	6.57985e-034	1.0554e-072	2.28354	1
5.3	21	4.58258	2.49857	1.1005e-033	2.3719e-072	2.49857	1
5.32	27	5.19615	2.98408	3.06407e-033	1.19116e-071	2.98408	1
5.33	32	5.65685	3.25722	5.10072e-033	2.66172e-071	3.25722	1
5.35	29	5.38516	3.87146	1.40688e-032	1.32148e-070	3.87146	1
5.36	31	5.56776	4.21565	2.33103e-032	2.93606e-070	4.21565	1
5.38	33	5.74456	4.98653	6.36928e-032	1.44108e-069	4.98653	1
5.4	16	4	5.87946	1.72946e-031	7.01929e-069	5.87946	1
5.41	44	6.63325	6.37652	2.84315e-031	1.54473e-068	6.37652	1
5.43	11	3.31662	7.4822	7.64783e-031	7.43847e-068	7.4822	1
5.44	33	5.74456	8.09522	1.25137e-030	1.62763e-067	8.09522	1
5.46	34	5.83095	9.45325	3.33458e-030	7.7484e-067	9.45325	1
5.48	27	5.19615	11.0037	8.83029e-030	3.6606e-066	11.0037	1
5.49	32	5.65685	11.8575	1.43358e-029	7.93375e-066	11.8575	1
5.51	33	5.74456	13.7359	3.76073e-029	3.70547e-065	13.7359	1
5.52	26	5.09902	14.7662	6.07683e-029	7.98513e-065	14.7662	1
5.54	24	4.89898	17.0231	1.57923e-028	3.68699e-064	17.0231	1
5.55	33	5.74456	18.2558	2.53985e-028	7.89994e-064	18.2558	1
