# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
5.82	143	11.9583	143.688	143.688	9.27472e-008	1
5.84	212	14.5602	176.056	176.056	1.85711e-007	1
5.85	158	12.5698	194.351	194.351	2.61705e-007	1
5.87	244	15.6205	235.559	235.559	5.15432e-007	1
5.89	266	16.3095	283.443	283.443	1.00402e-006	1
5.9	308	17.5499	310.076	310.076	1.39552e-006	1
5.92	358	18.9209	369.076	369.076	2.6738e-006	1
5.93	399	19.975	401.569	401.569	3.6858e-006	1
5.95	430	20.7364	472.813	472.813	6.94619e-006	1
5.97	517	22.7376	552.678	552.678	1.29472e-005	1
5.98	520	22.8035	595.914	595.914	1.76033e-005	1
6	679	26.0576	689.046	689.046	3.22734e-005	1
6.01	643	25.3574	738.926	738.926	4.35186e-005	1
6.03	771	27.7669	845.175	845.175	7.84777e-005	1
6.04	864	29.3939	901.446	901.446	0.000104951	1
6.06	945	30.7409	1019.92	1019.92	0.000186157	1
6.08	1086	32.9545	1145.64	1145.64	0.000326576	1
6.09	1380	37.1484	1210.9	1210.9	0.000430768	1
6.11	1193	34.5398	1345.46	1345.46	0.00074331	1
6.12	1421	37.6962	1414.4	1414.4	0.000972386	1
6.14	1520	38.9872	1554.6	1554.59	0.00165039	1
6.16	1638	40.4722	1696.35	1696.35	0.00277044	1
6.17	1722	41.497	1767.2	1767.2	0.00357466	1
6.19	1769	42.0595	1907.5	1907.5	0.00590226	1
6.2	2099	45.8148	1976.4	1976.4	0.00755292	1
6.22	2191	46.8081	2110.27	2110.25	0.0122665	1
6.23	2066	45.4533	2174.65	2174.63	0.0155678	1
6.25	2383	48.816	2296.85	2296.82	0.0248686	1
6.27	2255	47.4868	2408.41	2408.37	0.0392908	1
6.28	2635	51.3323	2459.52	2459.48	0.049183	1
6.3	2560	50.5964	2551.13	2551.06	0.0764321	1
6.31	2752	52.4595	2591.17	2591.07	0.0948879	1
6.33	2642	51.4004	2658.66	2658.51	0.145041	1
6.35	2929	54.1202	2708.24	2708.02	0.219274	1
6.36	2554	50.5371	2725.97	2725.7	0.268497	1
6.38	2814	53.0471	2746.86	2746.46	0.399261	1
6.39	2762	52.5547	2749.9	2749.42	0.484864	1
6.41	2796	52.8772	2741.13	2740.42	0.709181	1
6.42	2825	53.1507	2729.36	2728.51	0.854144	1
6.44	2607	51.0588	2691.41	2690.19	1.22882	1
6.46	2915	53.9907	2635.01	2633.26	1.74848	1
6.47	2641	51.3907	2600.26	2598.18	2.07708	1
6.49	2477	49.7695	2518.63	2515.72	2.90701	1
6.5	2582	50.8134	2472.19	2468.76	3.4249	1
6.52	2347	48.4458	2369.29	2364.58	4.71479	1
6.54	2384	48.8262	2254.86	2248.44	6.41935	1
6.55	2294	47.8957	2194.04	2186.58	7.45952	1
6.57	2089	45.7056	2066.71	2056.72	9.98988	1
6.58	2001	44.7325	2000.82	1989.3	11.513	1
6.6	2060	45.3872	1866.11	1850.94	15.1656	1
6.61	1661	40.7554	1797.9	1780.57	17.3341	1
6.63	1627	40.3361	1661.28	1638.82	22.4591	1
6.65	1514	38.9102	1526.25	1497.47	28.7805	1
6.66	1523	39.0256	1459.99	1427.55	32.4456	1
6.68	1239	35.1994	1331.22	1290.32	40.8962	1
6.69	1148	33.8821	1269.14	1223.41	45.7247	1
6.71	1136	33.7046	1150.55	1093.86	56.689	1
6.73	1075	32.7872	1040.48	970.969	69.5121	1
6.74	863	29.3769	988.977	912.321	76.656	1
6.76	911	30.1828	893.528	801.074	92.4547	1
6.77	764	27.6405	849.727	748.609	101.117	1
6.79	789	28.0891	770.18	650.221	119.958	1
6.8	686	26.1916	734.462	604.345	130.118	1
6.82	638	25.2587	671.076	519.245	151.831	1
6.84	607	24.6374	618.135	442.908	175.226	1
6.85	612	24.7386	595.415	407.948	187.467	1
6.87	516	22.7156	557.02	344.214	212.806	1
6.88	571	23.8956	541.124	315.326	225.798	1
6.9	517	22.7376	515.303	263.187	252.116	1
