# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
4.79	22	4.69042	6.35324e-026	6.35324e-026	1.8244e-058	1
4.81	21	4.58258	1.73603e-025	1.73603e-025	9.24712e-058	1
4.83	28	5.2915	4.70748e-025	4.70748e-025	4.64265e-057	1
4.84	19	4.3589	7.72954e-025	7.72954e-025	1.03657e-056	1
4.86	17	4.12311	2.07198e-024	2.07198e-024	5.13064e-056	1
4.87	27	5.19615	3.3826e-024	3.3826e-024	1.13739e-055	1
4.89	19	4.3589	8.96361e-024	8.96361e-024	5.55003e-055	1
4.91	20	4.47214	2.35713e-023	2.35713e-023	2.68259e-054	1
4.92	14	3.74166	3.81139e-023	3.81139e-023	5.87675e-054	1
4.94	30	5.47723	9.90795e-023	9.90795e-023	2.80033e-053	1
4.95	21	4.58258	1.59288e-022	1.59288e-022	6.09112e-053	1
4.97	20	4.47214	4.09342e-022	4.09342e-022	2.86142e-052	1
4.98	23	4.79583	6.54316e-022	6.54316e-022	6.17982e-052	1
5	17	4.12311	1.66223e-021	1.66223e-021	2.86201e-051	1
5.02	23	4.79583	4.19045e-021	4.19045e-021	1.31293e-050	1
5.03	33	5.74456	6.63431e-021	6.63431e-021	2.80208e-050	1
5.05	15	3.87298	1.65336e-020	1.65336e-020	1.26725e-049	1
5.06	24	4.89898	2.60257e-020	2.60257e-020	2.6854e-049	1
5.08	34	5.83095	6.41173e-020	6.41173e-020	1.1973e-048	1
5.1	15	3.87298	1.56753e-019	1.56753e-019	5.28778e-048	1
5.11	19	4.3589	2.44391e-019	2.44391e-019	1.10729e-047	1
5.13	15	3.87298	5.90645e-019	5.90645e-019	4.82107e-047	1
5.14	24	4.89898	9.15581e-019	9.15581e-019	1.00239e-046	1
5.16	26	5.09902	2.18745e-018	2.18745e-018	4.30261e-046	1
5.17	25	5	3.3714e-018	3.3714e-018	8.88244e-046	1
5.19	17	4.12311	7.96256e-018	7.96256e-018	3.75871e-045	1
5.21	18	4.24264	1.86622e-017	1.86622e-017	1.57551e-044	1
5.22	18	4.24264	2.84884e-017	2.84884e-017	3.21414e-044	1
5.24	24	4.89898	6.60055e-017	6.60055e-017	1.32818e-043	1
5.25	23	4.79583	1.00181e-016	1.00181e-016	2.69034e-043	1
