# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
3.83	24	4.89898	1.27757e-009	7.96169e-074	6.08826e-133	1.27757e-009	1
3.85	27	5.19615	1.91806e-009	3.51386e-073	5.35927e-132	1.91806e-009	1
3.86	18	4.24264	2.3474e-009	7.36468e-073	1.58551e-131	2.3474e-009	1
3.88	21	4.58258	3.5076e-009	3.21996e-072	1.37977e-130	3.5076e-009	1
3.89	30	5.47723	4.2826e-009	6.71705e-072	4.05865e-130	4.2826e-009	1
3.91	33	5.74456	6.36908e-009	2.90933e-071	3.49176e-129	6.36908e-009	1
3.92	30	5.47723	7.75795e-009	6.04059e-071	1.02125e-128	7.75795e-009	1
3.94	30	5.47723	1.14832e-008	2.59185e-070	8.68602e-128	1.14832e-008	1
3.96	23	4.79583	1.69436e-008	1.10515e-069	7.3315e-127	1.69436e-008	1
3.97	33	5.74456	2.05572e-008	2.27669e-069	2.12391e-126	2.05572e-008	1
3.99	28	5.2915	3.01894e-008	9.61681e-069	1.77228e-125	3.01894e-008	1
4	18	4.24264	3.65414e-008	1.97185e-068	5.10491e-125	3.65414e-008	1
4.02	30	5.47723	5.34097e-008	8.25121e-068	4.21124e-124	5.34097e-008	1
4.04	26	5.09902	7.7819e-008	3.43115e-067	3.4476e-123	7.7819e-008	1
4.05	26	5.09902	9.3822e-008	6.98039e-067	9.83617e-123	9.3822e-008	1
4.07	24	4.89898	1.36055e-007	2.87554e-066	7.96082e-122	1.36055e-007	1
4.08	25	5	1.63647e-007	5.82262e-066	2.25829e-121	1.63647e-007	1
4.1	28	5.2915	2.36191e-007	2.37616e-065	1.80691e-120	2.36191e-007	1
4.11	25	5	2.83418e-007	4.78886e-065	5.09649e-120	2.83418e-007	1
4.13	30	5.47723	4.07127e-007	1.936e-064	4.03138e-119	4.07127e-007	1
4.15	41	6.40312	5.82991e-007	7.77782e-064	3.1646e-118	5.82991e-007	1
4.16	27	5.19615	6.9681e-007	1.5553e-063	8.84114e-118	6.9681e-007	1
4.18	33	5.74456	9.93096e-007	6.18988e-063	6.86119e-117	9.93096e-007	1
4.19	26	5.09902	1.18418e-006	1.23196e-062	1.9059e-116	1.18418e-006	1
4.21	29	5.38516	1.67973e-006	4.85716e-062	1.46224e-115	1.67973e-006	1
4.23	41	6.40312	2.37516e-006	1.90304e-061	1.11331e-114	2.37516e-006	1
