Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
202.33	-4.1798
202.17	-4.1795
202.00	-4.1795
201.83	-4.1791
201.67	-4.1791
201.50	-4.1791
201.33	-4.1791
201.17	-4.1791
201.00	-4.1788
200.83	-4.1788
200.67	-4.1788
200.50	-4.1788
200.33	-4.1785
200.17	-4.1785
200.00	-4.1785
199.83	-4.1782
199.67	-4.1779
199.50	-4.1776
199.33	-4.1773
199.17	-4.1770
199.00	-4.1764
198.83	-4.1757
198.67	-4.1754
198.50	-4.1748
198.33	-4.1745
198.17	-4.1739
198.00	-4.1733
197.83	-4.1727
197.67	-4.1724
197.50	-4.1720
197.33	-4.1714
197.17	-4.1711
197.00	-4.1708
196.83	-4.1702
196.67	-4.1699
196.50	-4.1696
196.33	-4.1690
196.17	-4.1686
196.00	-4.1680
195.83	-4.1674
195.67	-4.1671
195.50	-4.1665
195.33	-4.1659
195.17	-4.1653
195.00	-4.1646
194.83	-4.1643
194.67	-4.1637
194.50	-4.1631
194.33	-4.1628
194.17	-4.1628
194.00	-4.1625
193.83	-4.1622
193.67	-4.1619
193.50	-4.1619
193.33	-4.1619
193.17	-4.1619
193.00	-4.1619
192.83	-4.1615
192.67	-4.1615
192.50	-4.1612
192.33	-4.1612
192.17	-4.1609
192.00	-4.1603
191.83	-4.1600
191.67	-4.1594
191.50	-4.1591
191.33	-4.1588
191.17	-4.1582
191.00	-4.1582
190.83	-4.1575
190.67	-4.1572
190.50	-4.1569
190.33	-4.1566
190.17	-4.1563
190.00	-4.1557
189.83	-4.1551
189.67	-4.1541
189.50	-4.1535
189.33	-4.1526
189.17	-4.1514
189.00	-4.1507
188.83	-4.1498
188.67	-4.1489
188.50	-4.1483
188.33	-4.1477
188.17	-4.1470
188.00	-4.1464
187.83	-4.1458
187.67	-4.1455
187.50	-4.1449
187.33	-4.1443
187.17	-4.1436
187.00	-4.1430
186.83	-4.1424
186.67	-4.1418
186.50	-4.1412
186.33	-4.1406
186.17	-4.1399
186.00	-4.1390
185.83	-4.1384
185.67	-4.1378
185.50	-4.1372
185.33	-4.1369
185.17	-4.1369
185.00	-4.1372
184.83	-4.1378
184.67	-4.1384
184.50	-4.1393
184.33	-4.1399
184.17	-4.1402
184.00	-4.1406
183.83	-4.1402
183.67	-4.1399
183.50	-4.1396
183.33	-4.1390
183.17	-4.1381
183.00	-4.1372
182.83	-4.1359
182.67	-4.1350
182.50	-4.1338
182.33	-4.1328
182.17	-4.1316
182.00	-4.1301
181.83	-4.1288
181.67	-4.1276
181.50	-4.1264
181.33	-4.1251
181.17	-4.1236
181.00	-4.1223
180.83	-4.1208
180.67	-4.1196
180.50	-4.1180
180.33	-4.1168
180.17	-4.1152
180.00	-4.1140
179.83	-4.1128
179.67	-4.1115
179.50	-4.1106
179.33	-4.1094
179.17	-4.1085
179.00	-4.1075
178.83	-4.1063
178.67	-4.1054
178.50	-4.1044
178.33	-4.1038
178.17	-4.1029
178.00	-4.1023
177.83	-4.1017
177.67	-4.1007
177.50	-4.1001
177.33	-4.0995
177.17	-4.0989
177.00	-4.0983
176.83	-4.0976
176.67	-4.0967
176.50	-4.0958
176.33	-4.0949
176.17	-4.0936
176.00	-4.0924
175.83	-4.0912
175.67	-4.0899
175.50	-4.0887
175.33	-4.0878
175.17	-4.0868
175.00	-4.0859
174.83	-4.0850
174.67	-4.0844
174.50	-4.0834
174.33	-4.0828
174.17	-4.0819
174.00	-4.0810
173.83	-4.0801
173.67	-4.0791
