# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
4.79	20	4.47214	3.3462e-041	3.3462e-041	5.60874e-054	1
4.81	13	3.60555	1.18895e-040	1.18895e-040	2.04805e-053	1
4.83	20	4.47214	4.19097e-040	4.19097e-040	7.42993e-053	1
4.84	11	3.31662	7.84499e-040	7.84499e-040	1.41171e-052	1
4.86	12	3.4641	2.73246e-039	2.73246e-039	5.07157e-052	1
4.87	15	3.87298	5.08436e-039	5.08436e-039	9.58913e-052	1
4.89	23	4.79583	1.74987e-038	1.74987e-038	3.41138e-051	1
4.91	16	4	5.97472e-038	5.97472e-038	1.20573e-050	1
4.92	16	4	1.10072e-037	1.10072e-037	2.26124e-050	1
4.94	28	5.2915	3.7136e-037	3.7136e-037	7.91442e-050	1
4.95	22	4.69042	6.80077e-037	6.80077e-037	1.47704e-049	1
4.97	20	4.47214	2.26719e-036	2.26719e-036	5.1194e-049	1
4.98	16	4	4.12721e-036	4.12721e-036	9.50759e-049	1
5	22	4.69042	1.35955e-035	1.35955e-035	3.26324e-048	1
5.02	21	4.58258	4.443e-035	4.443e-035	1.11275e-047	1
5.03	18	4.24264	8.0079e-035	8.0079e-035	2.04979e-047	1
5.05	26	5.09902	2.58588e-034	2.58588e-034	6.92165e-047	1
5.06	21	4.58258	4.63293e-034	4.63293e-034	1.26882e-046	1
5.08	26	5.09902	1.47828e-033	1.47828e-033	4.2428e-046	1
5.1	20	4.47214	4.67945e-033	4.67945e-033	1.40953e-045	1
5.11	20	4.47214	8.30075e-033	8.30075e-033	2.56286e-045	1
5.13	14	3.74166	2.59637e-032	2.59637e-032	8.43143e-045	1
5.14	21	4.58258	4.57819e-032	4.57819e-032	1.52555e-044	1
5.16	17	4.12311	1.41499e-031	1.41499e-031	4.97e-044	1
5.17	15	3.87298	2.48019e-031	2.48019e-031	8.94869e-044	1
5.19	23	4.79583	7.57451e-031	7.57451e-031	2.88697e-043	1
5.21	12	3.4641	2.2949e-030	2.2949e-030	9.25322e-043	1
5.22	21	4.58258	3.98263e-030	3.98263e-030	1.65256e-042	1
5.24	19	4.3589	1.19231e-029	1.19231e-029	5.24519e-042	1
5.25	21	4.58258	2.05684e-029	2.05684e-029	9.32185e-042	1
5.27	27	5.19615	6.08457e-029	6.08457e-029	2.92995e-041	1
5.29	31	5.56776	1.78566e-028	1.78566e-028	9.14926e-041	1
5.3	20	4.47214	3.0499e-028	3.0499e-028	1.61283e-040	1
5.32	22	4.69042	8.8443e-028	8.8443e-028	4.98732e-040	1
5.33	22	4.69042	1.5016e-027	1.5016e-027	8.74873e-040	1
5.35	17	4.12311	4.30272e-027	4.30272e-027	2.67903e-039	1
5.36	18	4.24264	7.26172e-027	7.26172e-027	4.67663e-039	1
5.38	18	4.24264	2.05607e-026	2.05607e-026	1.41814e-038	1
5.4	11	3.31662	5.77532e-026	5.77532e-026	4.27241e-038	1
5.41	15	3.87298	9.65044e-026	9.65044e-026	7.39757e-038	1
5.43	23	4.79583	2.67852e-025	2.67852e-025	2.20697e-037	1
5.44	23	4.79583	4.44909e-025	4.44909e-025	3.80268e-037	1
5.46	23	4.79583	1.22019e-024	1.22019e-024	1.12344e-036	1
5.48	23	4.79583	3.31991e-024	3.31991e-024	3.29747e-036	1
5.49	29	5.38516	5.45981e-024	5.45981e-024	5.63552e-036	1
5.51	12	3.4641	1.46786e-023	1.46786e-023	1.63801e-035	1
5.52	23	4.79583	2.39961e-023	2.39961e-023	2.78578e-035	1
5.54	25	5	6.37468e-023	6.37468e-023	8.01832e-035	1
5.55	25	5	1.0359e-022	1.0359e-022	1.35703e-034	1
5.57	17	4.12311	2.71923e-022	2.71923e-022	3.86794e-034	1
5.59	34	5.83095	7.08131e-022	7.08131e-022	1.09531e-033	1
5.6	23	4.79583	1.13933e-021	1.13933e-021	1.83868e-033	1
5.62	30	5.47723	2.93174e-021	2.93174e-021	5.15605e-033	1
5.63	28	5.2915	4.68886e-021	4.68886e-021	8.61313e-033	1
5.65	32	5.65685	1.19221e-020	1.19221e-020	2.3918e-032	1
5.67	20	4.47214	3.00732e-020	3.00732e-020	6.59871e-032	1
5.68	15	3.87298	4.76207e-020	4.76207e-020	1.09336e-031	1
5.7	20	4.47214	1.18695e-019	1.18695e-019	2.98711e-031	1
5.71	14	3.74166	1.86833e-019	1.86833e-019	4.9253e-031	1
5.73	12	3.4641	4.60149e-019	4.60149e-019	1.33252e-030	1
5.74	32	5.65685	7.19986e-019	7.19986e-019	2.18641e-030	1
5.76	24	4.89898	1.75219e-018	1.75219e-018	5.85766e-030	1
5.78	15	3.87298	4.23035e-018	4.23035e-018	1.55914e-029	1
5.79	25	5	6.55355e-018	6.55355e-018	2.5375e-029	1
5.81	21	4.58258	1.56344e-017	1.56344e-017	6.68838e-029	1
5.82	20	4.47214	2.40762e-017	2.40762e-017	1.08322e-028	1
5.84	29	5.38516	5.67549e-017	5.67549e-017	2.82739e-028	1
5.85	25	5	8.68787e-017	8.68787e-017	4.55677e-028	1
5.87	31	5.56776	2.02367e-016	2.02367e-016	1.17782e-027	1
5.89	37	6.08276	4.67632e-016	4.67632e-016	3.02461e-027	1
5.9	33	5.74456	7.08743e-016	7.08743e-016	4.83507e-027	1
5.92	31	5.56776	1.61832e-015	1.61832e-015	1.22955e-026	1
5.93	29	5.38516	2.43812e-015	2.43812e-015	1.95594e-026	1
5.95	31	5.56776	5.50097e-015	5.50097e-015	4.92553e-026	1
